Cause of death,NICU Admission,Antibiotics for Mother,Mother's Pre-pregnancy BMI,Infant birth weight,Deaths,Births,Death rate per 1000,Year
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2000 - 2499 grams,25.0,41610.0,0.6,2017
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2500 - 2999 grams,79.0,226913.0,0.35,2017
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3000 - 3499 grams,107.0,491335.0,0.22,2017
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3500 - 3999 grams,41.0,305879.0,0.13,2017
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2000 - 2499 grams,20.0,21111.0,0.95,2017
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2500 - 2999 grams,31.0,114550.0,0.27,2017
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3000 - 3499 grams,75.0,275284.0,0.27,2017
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3500 - 3999 grams,31.0,200267.0,0.16,2017
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,41.0,59611.0,0.69,2017
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,48.0,143311.0,0.34,2017
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,19.0,111139.0,0.17 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,12.0,27420.0,0.44 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,23.0,65878.0,0.35,2017
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,15.0,52967.0,0.28 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,15.0,18537.0,0.81 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,18.0,42750.0,0.42 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,12.0,35354.0,0.34 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,19.0,68267.0,0.28 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,25.0,132042.0,0.19,2017
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,15.0,82657.0,0.18 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,13.0,38152.0,0.34 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,16.0,81305.0,0.20 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,11.0,59655.0,0.18 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,10.0,21964.0,0.46 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,13.0,46985.0,0.28 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,Yes,Extreme Obesity III > 39.9,3000 - 3499 grams,10.0,18149.0,0.55 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,No,Underweight <18.5,2500 - 2999 grams,11.0,25688.0,0.43 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2000 - 2499 grams,20.0,41610.0,0.48,2017
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2500 - 2999 grams,71.0,226913.0,0.31,2017
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3000 - 3499 grams,78.0,491335.0,0.16,2017
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3500 - 3999 grams,35.0,305879.0,0.11,2017
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,2000 - 2499 grams,13.0,21111.0,0.62 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,2500 - 2999 grams,32.0,114550.0,0.28,2017
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3000 - 3499 grams,55.0,275284.0,0.2,2017
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3500 - 3999 grams,25.0,200267.0,0.13,2017
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,29.0,59611.0,0.49,2017
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,36.0,143311.0,0.25,2017
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,23.0,111139.0,0.21,2017
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,10.0,27420.0,0.37 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,22.0,65878.0,0.33,2017
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,10.0,52967.0,0.19 (Unreliable),2017
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,14.0,42750.0,0.33 (Unreliable),2017
Unspecified threat to breathing,No,No,Overweight 25.0-29.9,3000 - 3499 grams,10.0,275284.0,0.04 (Unreliable),2017
Assault by unspecified means,No,No,Normal 18.5-24.9,3000 - 3499 grams,11.0,491335.0,0.02 (Unreliable),2017
Other and unspecified gastroenteritis and colitis of infectious origin,Yes,No,Normal 18.5-24.9,500 - 749 grams,11.0,1136.0,9.69 (Unreliable),2018
Newborn affected by incompetent cervix,No,Yes,Normal 18.5-24.9,499 grams or less,13.0,205.0,64.15 (Unreliable),2018
Newborn affected by incompetent cervix,No,Yes,Overweight 25.0-29.9,499 grams or less,21.0,218.0,97.13,2018
Newborn affected by incompetent cervix,No,Yes,Obesity I 30.0-34.9,499 grams or less,14.0,169.0,83.52 (Unreliable),2018
Newborn affected by incompetent cervix,No,No,Normal 18.5-24.9,499 grams or less,57.0,834.0,68.04,2018
Newborn affected by incompetent cervix,No,No,Overweight 25.0-29.9,499 grams or less,48.0,686.0,70.61,2018
Newborn affected by incompetent cervix,No,No,Obesity I 30.0-34.9,499 grams or less,35.0,547.0,64.78,2018
Newborn affected by incompetent cervix,No,No,Obesity II 35.0-39.9,499 grams or less,33.0,327.0,101.91,2018
Newborn affected by incompetent cervix,No,No,Extreme Obesity III > 39.9,499 grams or less,19.0,287.0,66.69 (Unreliable),2018
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,499 grams or less,24.0,205.0,117.63,2018
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,500 - 749 grams,11.0,131.0,84.70 (Unreliable),2018
Newborn affected by premature rupture of membranes,No,Yes,Overweight 25.0-29.9,499 grams or less,20.0,218.0,93.24,2018
Newborn affected by premature rupture of membranes,No,Yes,Obesity I 30.0-34.9,499 grams or less,30.0,169.0,179.05,2018
Newborn affected by premature rupture of membranes,No,Yes,Obesity II 35.0-39.9,499 grams or less,11.0,101.0,110.38 (Unreliable),2018
Newborn affected by premature rupture of membranes,No,Yes,Extreme Obesity III > 39.9,499 grams or less,12.0,81.0,148.68 (Unreliable),2018
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,499 grams or less,62.0,834.0,73.86,2018
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,500 - 749 grams,13.0,303.0,43.62 (Unreliable),2018
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,499 grams or less,77.0,686.0,111.94,2018
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,500 - 749 grams,10.0,236.0,42.94 (Unreliable),2018
Newborn affected by premature rupture of membranes,No,No,Obesity I 30.0-34.9,499 grams or less,41.0,547.0,74.14,2018
Newborn affected by premature rupture of membranes,No,No,Obesity I 30.0-34.9,500 - 749 grams,11.0,186.0,59.87 (Unreliable),2018
Newborn affected by premature rupture of membranes,No,No,Obesity II 35.0-39.9,499 grams or less,35.0,327.0,107.94,2018
Newborn affected by premature rupture of membranes,No,No,Extreme Obesity III > 39.9,499 grams or less,37.0,287.0,129.59,2018
Newborn affected by premature rupture of membranes,No,No,Unknown or Not Stated,499 grams or less,15.0,205.0,74.00 (Unreliable),2018
Newborn affected by multiple pregnancy,No,No,Obesity I 30.0-34.9,499 grams or less,10.0,547.0,18.73 (Unreliable),2018
Newborn affected by other forms of placental separation and haemorrhage,No,Yes,Normal 18.5-24.9,499 grams or less,10.0,205.0,49.37 (Unreliable),2018
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,499 grams or less,39.0,834.0,47.08,2018
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,500 - 749 grams,12.0,303.0,39.87 (Unreliable),2018
Newborn affected by other forms of placental separation and haemorrhage,No,No,Overweight 25.0-29.9,499 grams or less,25.0,686.0,36.74,2018
Newborn affected by other forms of placental separation and haemorrhage,No,No,Obesity I 30.0-34.9,499 grams or less,11.0,547.0,20.36 (Unreliable),2018
Newborn affected by chorioamnionitis,No,Yes,Normal 18.5-24.9,499 grams or less,15.0,205.0,74.22 (Unreliable),2018
Newborn affected by chorioamnionitis,No,Yes,Overweight 25.0-29.9,499 grams or less,18.0,218.0,83.82 (Unreliable),2018
Newborn affected by chorioamnionitis,No,No,Normal 18.5-24.9,499 grams or less,15.0,834.0,18.07 (Unreliable),2018
Newborn affected by chorioamnionitis,No,No,Overweight 25.0-29.9,499 grams or less,17.0,686.0,25.13 (Unreliable),2018
Newborn affected by chorioamnionitis,No,No,Obesity I 30.0-34.9,499 grams or less,13.0,547.0,24.11 (Unreliable),2018
"Slow fetal growth, unspecified",Yes,No,Obesity I 30.0-34.9,499 grams or less,14.0,166.0,85.03 (Unreliable),2018
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,499 grams or less,18.0,144.0,125.71 (Unreliable),2018
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,28.0,873.0,32.47,2018
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,499 grams or less,10.0,108.0,93.77 (Unreliable),2018
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,28.0,756.0,37.14,2018
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,499 grams or less,10.0,92.0,110.28 (Unreliable),2018
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,20.0,560.0,36.32,2018
Extreme immaturity,Yes,No,Normal 18.5-24.9,499 grams or less,45.0,251.0,181.16,2018
Extreme immaturity,Yes,No,Normal 18.5-24.9,500 - 749 grams,40.0,1136.0,34.77,2018
Extreme immaturity,Yes,No,Overweight 25.0-29.9,499 grams or less,32.0,201.0,160.4,2018
Extreme immaturity,Yes,No,Overweight 25.0-29.9,500 - 749 grams,26.0,952.0,27.49,2018
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,499 grams or less,30.0,166.0,182.71,2018
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,11.0,652.0,17.00 (Unreliable),2018
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,499 grams or less,19.0,125.0,153.82 (Unreliable),2018
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,500 - 749 grams,14.0,471.0,30.12 (Unreliable),2018
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,499 grams or less,14.0,97.0,145.53 (Unreliable),2018
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,12.0,372.0,32.44 (Unreliable),2018
Extreme immaturity,Yes,No,Unknown or Not Stated,500 - 749 grams,15.0,196.0,76.98 (Unreliable),2018
Extreme immaturity,No,Yes,Normal 18.5-24.9,499 grams or less,72.0,205.0,350.32,2018
Extreme immaturity,No,Yes,Normal 18.5-24.9,500 - 749 grams,28.0,131.0,215.74,2018
Extreme immaturity,No,Yes,Overweight 25.0-29.9,499 grams or less,85.0,218.0,389.39,2018
Extreme immaturity,No,Yes,Overweight 25.0-29.9,500 - 749 grams,20.0,106.0,190.44,2018
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,499 grams or less,46.0,169.0,275.0,2018
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,500 - 749 grams,11.0,57.0,194.50 (Unreliable),2018
Extreme immaturity,No,Yes,Obesity II 35.0-39.9,499 grams or less,41.0,101.0,410.81,2018
Extreme immaturity,No,Yes,Extreme Obesity III > 39.9,499 grams or less,32.0,81.0,399.51,2018
Extreme immaturity,No,Yes,Unknown or Not Stated,499 grams or less,20.0,39.0,516.63,2018
Extreme immaturity,No,No,Underweight <18.5,499 grams or less,32.0,89.0,362.52,2018
Extreme immaturity,No,No,Normal 18.5-24.9,499 grams or less,351.0,834.0,420.89,2018
Extreme immaturity,No,No,Normal 18.5-24.9,500 - 749 grams,86.0,303.0,283.79,2018
Extreme immaturity,No,No,Normal 18.5-24.9,750 - 999 grams,10.0,205.0,49.18 (Unreliable),2018
Extreme immaturity,No,No,Overweight 25.0-29.9,499 grams or less,279.0,686.0,406.2,2018
Extreme immaturity,No,No,Overweight 25.0-29.9,500 - 749 grams,49.0,236.0,207.09,2018
Extreme immaturity,No,No,Obesity I 30.0-34.9,499 grams or less,231.0,547.0,421.53,2018
Extreme immaturity,No,No,Obesity I 30.0-34.9,500 - 749 grams,60.0,186.0,320.24,2018
Extreme immaturity,No,No,Obesity II 35.0-39.9,499 grams or less,135.0,327.0,412.54,2018
Extreme immaturity,No,No,Obesity II 35.0-39.9,500 - 749 grams,23.0,98.0,238.67,2018
Extreme immaturity,No,No,Extreme Obesity III > 39.9,499 grams or less,119.0,287.0,414.17,2018
Extreme immaturity,No,No,Extreme Obesity III > 39.9,500 - 749 grams,16.0,81.0,199.59 (Unreliable),2018
Extreme immaturity,No,No,Unknown or Not Stated,499 grams or less,90.0,205.0,436.85,2018
Extreme immaturity,No,No,Unknown or Not Stated,500 - 749 grams,15.0,63.0,238.87 (Unreliable),2018
Other preterm infants,No,Yes,Normal 18.5-24.9,499 grams or less,19.0,205.0,93.78 (Unreliable),2018
Other preterm infants,No,Yes,Overweight 25.0-29.9,499 grams or less,18.0,218.0,83.27 (Unreliable),2018
Other preterm infants,No,Yes,Obesity I 30.0-34.9,499 grams or less,10.0,169.0,59.87 (Unreliable),2018
Other preterm infants,No,Yes,Obesity II 35.0-39.9,499 grams or less,14.0,101.0,139.81 (Unreliable),2018
Other preterm infants,No,No,Underweight <18.5,499 grams or less,11.0,89.0,125.01 (Unreliable),2018
Other preterm infants,No,No,Normal 18.5-24.9,499 grams or less,109.0,834.0,130.77,2018
Other preterm infants,No,No,Normal 18.5-24.9,500 - 749 grams,20.0,303.0,66.39,2018
Other preterm infants,No,No,Overweight 25.0-29.9,499 grams or less,73.0,686.0,107.12,2018
Other preterm infants,No,No,Overweight 25.0-29.9,500 - 749 grams,12.0,236.0,51.25 (Unreliable),2018
Other preterm infants,No,No,Obesity I 30.0-34.9,499 grams or less,71.0,547.0,128.95,2018
Other preterm infants,No,No,Obesity II 35.0-39.9,499 grams or less,48.0,327.0,148.24,2018
Other preterm infants,No,No,Extreme Obesity III > 39.9,499 grams or less,41.0,287.0,143.86,2018
Other preterm infants,No,No,Unknown or Not Stated,499 grams or less,26.0,205.0,127.33,2018
Respiratory distress syndrome of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,21.0,873.0,24.23,2018
Respiratory distress syndrome of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,19.0,756.0,25.27 (Unreliable),2018
Respiratory distress syndrome of newborn,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,12.0,560.0,21.54 (Unreliable),2018
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,26.0,1136.0,23.2,2018
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,26.0,952.0,27.51,2018
Respiratory distress syndrome of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,12.0,652.0,18.50 (Unreliable),2018
Unspecified pulmonary haemorrhage originating in the perinatal period,Yes,No,Normal 18.5-24.9,500 - 749 grams,16.0,1136.0,14.31 (Unreliable),2018
Neonatal cardiac failure,Yes,No,Normal 18.5-24.9,500 - 749 grams,12.0,1136.0,10.75 (Unreliable),2018
Neonatal cardiac failure,Yes,No,Overweight 25.0-29.9,500 - 749 grams,13.0,952.0,13.71 (Unreliable),2018
Neonatal cardiac failure,No,No,Normal 18.5-24.9,499 grams or less,17.0,834.0,20.55 (Unreliable),2018
Neonatal cardiac failure,No,No,Obesity I 30.0-34.9,499 grams or less,11.0,547.0,20.46 (Unreliable),2018
Neonatal cardiac dysrhythmia,Yes,No,Normal 18.5-24.9,500 - 749 grams,10.0,1136.0,8.93 (Unreliable),2018
Neonatal cardiac dysrhythmia,No,No,Normal 18.5-24.9,499 grams or less,25.0,834.0,30.21,2018
Neonatal cardiac dysrhythmia,No,No,Overweight 25.0-29.9,499 grams or less,21.0,686.0,30.92,2018
Neonatal cardiac dysrhythmia,No,No,Obesity I 30.0-34.9,499 grams or less,19.0,547.0,34.99 (Unreliable),2018
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Normal 18.5-24.9,500 - 749 grams,20.0,873.0,23.04,2018
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,16.0,756.0,21.26 (Unreliable),2018
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Extreme Obesity III > 39.9,500 - 749 grams,12.0,265.0,45.56 (Unreliable),2018
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,24.0,1136.0,21.21,2018
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,500 - 749 grams,17.0,952.0,17.92 (Unreliable),2018
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity I 30.0-34.9,500 - 749 grams,13.0,652.0,20.00 (Unreliable),2018
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity II 35.0-39.9,500 - 749 grams,11.0,471.0,23.40 (Unreliable),2018
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,14.0,873.0,16.09 (Unreliable),2018
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,15.0,756.0,20.07 (Unreliable),2018
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,20.0,1136.0,17.77,2018
Necrotizing enterocolitis of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,10.0,873.0,11.46 (Unreliable),2018
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,11.0,1136.0,9.70 (Unreliable),2018
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,750 - 999 grams,11.0,1508.0,7.30 (Unreliable),2018
Necrotizing enterocolitis of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,14.0,952.0,14.71 (Unreliable),2018
Necrotizing enterocolitis of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,12.0,652.0,18.41 (Unreliable),2018
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,3000 - 3499 grams,12.0,15518.0,0.78 (Unreliable),2018
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,3500 - 3999 grams,12.0,9254.0,1.31 (Unreliable),2018
Hypoxic ischemic encephalopathy of newborn,Yes,No,Overweight 25.0-29.9,3000 - 3499 grams,11.0,10368.0,1.07 (Unreliable),2018
Anencephaly,No,No,Normal 18.5-24.9,1500 - 1999 grams,11.0,3027.0,3.67 (Unreliable),2018
Anencephaly,No,No,Normal 18.5-24.9,2000 - 2499 grams,21.0,39388.0,0.54,2018
Anencephaly,No,No,Normal 18.5-24.9,2500 - 2999 grams,12.0,216767.0,0.06 (Unreliable),2018
Hypoplastic left heart syndrome,Yes,No,Normal 18.5-24.9,2500 - 2999 grams,14.0,14176.0,1.00 (Unreliable),2018
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,16.0,14437.0,1.11 (Unreliable),2018
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2500 - 2999 grams,16.0,14176.0,1.13 (Unreliable),2018
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,3000 - 3499 grams,16.0,15518.0,1.04 (Unreliable),2018
"Congenital malformation of heart, unspecified",Yes,No,Overweight 25.0-29.9,3000 - 3499 grams,14.0,10368.0,1.36 (Unreliable),2018
"Congenital malformation of heart, unspecified",No,No,Normal 18.5-24.9,2500 - 2999 grams,15.0,216767.0,0.07 (Unreliable),2018
Hypoplasia and dysplasia of lung,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,10.0,14437.0,0.70 (Unreliable),2018
Congenital diaphragmatic hernia,Yes,No,Normal 18.5-24.9,2500 - 2999 grams,10.0,14176.0,0.71 (Unreliable),2018
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,1250 - 1499 grams,13.0,2595.0,5.06 (Unreliable),2018
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,1500 - 1999 grams,27.0,9995.0,2.71,2018
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,12.0,14437.0,0.84 (Unreliable),2018
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,1500 - 1999 grams,21.0,6518.0,3.24,2018
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,2000 - 2499 grams,16.0,9060.0,1.78 (Unreliable),2018
"Edwards syndrome, unspecified",No,No,Normal 18.5-24.9,1500 - 1999 grams,29.0,3027.0,9.64,2018
"Edwards syndrome, unspecified",No,No,Overweight 25.0-29.9,1500 - 1999 grams,12.0,1802.0,6.71 (Unreliable),2018
"Edwards syndrome, unspecified",No,No,Obesity I 30.0-34.9,1500 - 1999 grams,11.0,1148.0,9.69 (Unreliable),2018
"Patau syndrome, unspecified",Yes,No,Overweight 25.0-29.9,2500 - 2999 grams,11.0,9172.0,1.22 (Unreliable),2018
"Patau syndrome, unspecified",No,No,Normal 18.5-24.9,1500 - 1999 grams,10.0,3027.0,3.32 (Unreliable),2018
Sudden infant death syndrome - SIDS,Yes,Yes,Normal 18.5-24.9,2000 - 2499 grams,12.0,10742.0,1.12 (Unreliable),2018
Sudden infant death syndrome - SIDS,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,13.0,14437.0,0.90 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,16.0,16287.0,0.98 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,32.0,66206.0,0.48,2018
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,31.0,127598.0,0.24,2018
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,17.0,79718.0,0.21 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,20.0,38983.0,0.51,2018
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,17.0,81976.0,0.21 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,18.0,48130.0,0.38 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,Yes,Obesity II 35.0-39.9,3000 - 3499 grams,13.0,24827.0,0.53 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,Yes,Extreme Obesity III > 39.9,3000 - 3499 grams,10.0,18766.0,0.53 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,No,Underweight <18.5,2500 - 2999 grams,19.0,24244.0,0.78 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,No,Underweight <18.5,3000 - 3499 grams,14.0,35327.0,0.40 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2000 - 2499 grams,31.0,39388.0,0.79,2018
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2500 - 2999 grams,88.0,216767.0,0.41,2018
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3000 - 3499 grams,116.0,469551.0,0.25,2018
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3500 - 3999 grams,46.0,293306.0,0.16,2018
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,4000 - 4499 grams,14.0,61877.0,0.23 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2000 - 2499 grams,15.0,21213.0,0.71 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2500 - 2999 grams,49.0,114783.0,0.43,2018
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3000 - 3499 grams,55.0,274003.0,0.2,2018
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3500 - 3999 grams,36.0,199599.0,0.18,2018
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,25.0,60649.0,0.41,2018
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,43.0,145954.0,0.3,2018
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,31.0,111580.0,0.28,2018
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,16.0,28587.0,0.56 (Unreliable),2018
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,25.0,67270.0,0.37,2018
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,25.0,53577.0,0.47,2018
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,20.0,19658.0,1.02,2018
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,23.0,44846.0,0.51,2018
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,14.0,36154.0,0.39 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,Yes,Yes,Overweight 25.0-29.9,1500 - 1999 grams,10.0,5056.0,1.98 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,Yes,No,Normal 18.5-24.9,1500 - 1999 grams,11.0,9995.0,1.10 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,15.0,14437.0,1.04 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,18.0,16287.0,1.11 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,30.0,66206.0,0.45,2018
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,30.0,127598.0,0.24,2018
